REGIONS;CERCLES;COMMUNES
Bamako;Quatrième Arrondissement ;Gringoume
Bamako;Quatrième Arrondissement ;Taliko
Bamako;Quatrième Arrondissement ;Quezindougou
Bamako;Quatrième Arrondissement ;Mamaribougou
Bamako;Quatrième Arrondissement ;Kanadjiguila
Bamako;Quatrième Arrondissement ;Karalabougou
Bamako;Cinquième Arrondissenrent ;Bacodjicoroni
Bamako;Cinquième Arrondissenrent ;Badalabougou
Bamako;Cinquième Arrondissenrent ;Daoudabougou
Bamako;Cinquième Arrondissenrent ;Garantiguibougou
Bamako;Cinquième Arrondissenrent ;Kalabancoura
Bamako;Cinquième Arrondissenrent ;Quartier Mali
Bamako;Cinquième Arrondissenrent ;Saralibougou
Bamako;Cinquième Arrondissenrent ;Sema
Bamako;Cinquième Arrondissenrent ;Torokorobougou
Bamako;Sixième Anondissement ;Banankabougou
Bamako;Sixième Anondissement ;Dianéguela
Bamako;Sixième Anondissement ;Faladie
Bamako;Sixième Anondissement ;Magnambougou
Bamako;Sixième Anondissement ;Niamakoro
Bamako;Sixième Anondissement ;Senou
Bamako;Sixième Anondissement ;Sogoninko
Bamako;Sixième Anondissement ;Sokorodji
Bamako;Sixième Anondissement ;Yirimadio
Bamako;Sixième Anondissement ;Missabougou
Bamako;Sixième Anondissement ;Diatoula
Bamako;Sixième Anondissement ;Niamana
Bamako;Sixième Anondissement ;Sirakoro-Meguetana
Bamako;Sixième Anondissement ;Ntabacoro
Bamako;Sixième Anondissement ;Dramanebougou-Tellem
Bamako;Sixième Anondissement ;Sabalibougou Kourani
Bamako;Septième Arrondissement ;Gouana
Bamako;Septième Arrondissement ;Kabala
Bamako;Septième Arrondissement ;Kalabancoro
Bamako;Septième Arrondissement ;Kourale
Bamako;Septième Arrondissement ;Missala
Bamako;Septième Arrondissement ;Missalabougou
Bamako;Septième Arrondissement ;Ngolobougou
